iso_8601,seconds_in_day,HH,MM,SS,bucket
00:04:57,297,00,04,57,EARLY MORNING
00:04:58,298,00,04,58,EARLY MORNING
00:04:59,299,00,04,59,EARLY MORNING
00:05:00,300,00,05,00,EARLY MORNING
00:05:01,301,00,05,01,EARLY MORNING
00:05:02,302,00,05,02,EARLY MORNING
00:05:03,303,00,05,03,EARLY MORNING
00:05:04,304,00,05,04,EARLY MORNING
00:05:05,305,00,05,05,EARLY MORNING
00:05:06,306,00,05,06,EARLY MORNING
00:05:07,307,00,05,07,EARLY MORNING
00:05:08,308,00,05,08,EARLY MORNING
00:05:09,309,00,05,09,EARLY MORNING
00:05:10,310,00,05,10,EARLY MORNING
00:05:11,311,00,05,11,EARLY MORNING
00:05:12,312,00,05,12,EARLY MORNING
00:05:13,313,00,05,13,EARLY MORNING
00:05:14,314,00,05,14,EARLY MORNING
00:05:15,315,00,05,15,EARLY MORNING
00:05:16,316,00,05,16,EARLY MORNING
00:05:17,317,00,05,17,EARLY MORNING
00:05:18,318,00,05,18,EARLY MORNING
00:05:19,319,00,05,19,EARLY MORNING
00:05:20,320,00,05,20,EARLY MORNING
00:05:21,321,00,05,21,EARLY MORNING
00:05:22,322,00,05,22,EARLY MORNING
00:05:23,323,00,05,23,EARLY MORNING
00:05:24,324,00,05,24,EARLY MORNING
00:05:25,325,00,05,25,EARLY MORNING
00:05:26,326,00,05,26,EARLY MORNING
00:05:27,327,00,05,27,EARLY MORNING
00:05:28,328,00,05,28,EARLY MORNING
00:05:29,329,00,05,29,EARLY MORNING
00:05:30,330,00,05,30,EARLY MORNING
00:05:31,331,00,05,31,EARLY MORNING
00:05:32,332,00,05,32,EARLY MORNING
00:05:33,333,00,05,33,EARLY MORNING
00:05:34,334,00,05,34,EARLY MORNING
00:05:35,335,00,05,35,EARLY MORNING
00:05:36,336,00,05,36,EARLY MORNING
00:05:37,337,00,05,37,EARLY MORNING
00:05:38,338,00,05,38,EARLY MORNING
00:05:39,339,00,05,39,EARLY MORNING
